generation,count,mean,std,min,25%,50%,75%,max
1,2000,247.7385,10.8607,201,241.0,248.0,255.0,282
2,2000,248.2255,10.5856,214,241.0,248.0,255.0,282
3,2000,248.6760,10.3340,219,242.0,249.0,256.0,282
4,2000,249.1395,10.1867,224,242.0,249.0,256.0,282
5,2000,249.5650,10.1541,224,242.0,249.0,256.0,292
6,2000,250.0190,10.1005,226,243.0,250.0,257.0,292
7,2000,250.4770,10.0949,226,243.0,250.0,257.0,292
8,2000,250.9850,9.9882,227,244.0,250.5,257.0,292
9,2000,251.3860,9.8881,229,244.0,251.0,258.0,292
10,2000,251.8615,9.8391,229,245.0,251.0,258.0,292
11,2000,252.3280,9.7562,231,245.0,251.0,259.0,292
12,2000,252.7125,9.7344,234,245.0,252.0,259.0,292
13,2000,253.1000,9.7302,235,246.0,252.0,259.0,292
14,2000,253.5190,9.6266,235,247.0,253.0,259.0,292
15,2000,253.9230,9.5567,235,247.0,253.0,260.0,292
16,2000,254.3035,9.5058,236,248.0,254.0,260.0,292
17,2000,254.6815,9.4451,237,248.0,254.0,261.0,292
18,2000,255.0765,9.3696,237,249.0,254.0,261.0,292
19,2000,255.4440,9.3999,237,249.0,255.0,261.0,294
20,2000,255.8620,9.3005,237,249.0,255.0,262.0,294
21,2000,256.2720,9.2127,238,250.0,255.0,262.0,294
22,2000,256.6245,9.1799,238,250.0,256.0,262.0,294
23,2000,257.0380,9.1458,239,250.0,256.0,263.0,294
24,2000,257.3335,9.1375,241,251.0,256.0,263.0,294
25,2000,257.6635,9.1539,241,251.0,257.0,263.0,298
26,2000,258.0055,9.1792,241,251.0,257.0,264.0,298
27,2000,258.3710,9.2080,241,251.0,257.0,264.0,298
28,2000,258.7790,9.2047,242,252.0,258.0,264.0,301
29,2000,259.1010,9.1921,242,252.0,258.0,265.0,301
30,2000,259.4430,9.1693,242,252.0,258.0,265.0,301
31,2000,259.7465,9.1816,245,253.0,258.0,265.0,301
32,2000,260.0395,9.3106,245,253.0,259.0,265.0,302
33,2000,260.4495,9.4803,245,253.0,259.0,266.0,302
34,2000,260.7630,9.6816,245,254.0,259.0,266.0,309
35,2000,261.0550,9.7204,245,254.0,259.0,266.0,309
36,2000,261.3570,9.7159,245,254.0,259.0,267.0,309
37,2000,261.7115,9.8690,248,255.0,260.0,267.0,309
38,2000,262.0085,10.1102,248,255.0,260.0,267.0,309
39,2000,262.3735,10.3064,248,255.0,260.0,268.0,309
40,2000,262.7215,10.5414,248,255.0,261.0,268.0,310
41,2000,263.0455,10.7526,248,255.0,261.0,268.0,310
42,2000,263.4900,10.9833,248,256.0,261.0,269.0,310
43,2000,263.8130,11.1998,248,256.0,261.0,269.0,310
44,2000,264.1955,11.4259,249,256.0,262.0,269.0,310
